an_vec_0,an_vec_1,an_vec_2,an_vec_3,an_vec_4,an_vec_5,an_vec_6,an_vec_7,an_vec_8,an_vec_9,an_vec_10,an_vec_11,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,fill_r,fill_g,fill_b,svg_fill_r,svg_fill_g,svg_fill_b,diff_fill_r,diff_fill_g,diff_fill_b,rel_height,rel_width,rel_x_position,rel_y_position,rel_x_position_to_animations,rel_y_position_to_animations,nr_paths_svg,rating_0,rating_1,rating_2,rating_3
0,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0.8444218515250481,0.7579544029403025,-2.24635083684308,0.4414327495397288,-0.3684725632867454,0.21916395869693203,0.835400008920284,-1.0430203000683966,2.176880017190801,-0.3521898907282153,-0.04225857377044094,-0.6849315079719792,-0.9284088572492858,-0.793431006088086,-0.584584513104966,-0.7172076836828071,-0.7468703484402205,-0.6729309143203632,-0.4303996955999552,-0.25207177815512316,-0.11352301176954202,-0.9319913709156737,-0.8806999850485663,-1.6120480274066464,-1.9266083683048523,-1.9107674805137402,-2.0294201505614207,0.02122996378390007,1,1,1,0
0,0,0,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3377407671331422,0.6345624596064585,1.5454253879840834,-1.272139218270468,-0.3082024162558784,1.646020317227049,0.4309308198046779,-0.1962194611137539,-0.34656409817664396,-0.013041832457926937,0.11238236108331011,0.427796155755419,0.5845774105672512,-0.7172076836828071,-0.7468703484402205,-0.6729309143203632,0.6931979436584688,1.075940395459519,1.2424225982785706,0.10586612737843583,0.6055008522787096,0.3927090132960757,0.7824914435199192,-0.024426391737693873,0.3648914414091989,0.02122996378390007,1,1,1,0
0,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.47775520484808576,0.4977507266578434,1.7379612882687971,-1.249104045110378,-0.19962626201910305,1.6854129995006268,0.5070970119545885,-0.2010089857250773,-0.25887494057473753,0.019933711307105584,0.11238236108331011,0.427796155755419,0.5845774105672512,-0.7172076836828071,-0.7468703484402205,-0.6729309143203632,0.6931979436584688,1.075940395459519,1.2424225982785706,0.10592542796516699,0.6055008522787096,0.3927090132960757,1.0782843209447042,-0.024426391737693873,0.6263141886070847,0.02122996378390007,1,1,1,0
1,0,0,0,0,0,0.13436424411240122,0.8474337369372327,-1.0,-1.0,-1.0,-1.0,-2.24635083684308,0.4414327495397288,-0.3684725632867454,0.21916395869693203,0.835400008920284,-1.0430203000683966,2.176880017190801,-0.3521898907282153,-0.04225857377044094,-0.6849315079719792,-0.9284088572492858,-0.793431006088086,-0.584584513104966,-0.7172076836828071,-0.7468703484402205,-0.6729309143203632,-0.4303996955999552,-0.25207177815512316,-0.11352301176954202,-0.9319913709156737,-0.8806999850485663,-1.6120480274066464,-1.9266083683048523,-1.9107674805137402,-2.0294201505614207,0.02122996378390007,0,0,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.763774618976614,-1.0,-1.0,0.3377407671331422,0.6345624596064585,1.5454253879840834,-1.272139218270468,-0.3082024162558784,1.646020317227049,0.4309308198046779,-0.1962194611137539,-0.34656409817664396,-0.013041832457926937,0.11238236108331011,0.427796155755419,0.5845774105672512,-0.7172076836828071,-0.7468703484402205,-0.6729309143203632,0.6931979436584688,1.075940395459519,1.2424225982785706,0.10586612737843583,0.6055008522787096,0.3927090132960757,0.7824914435199192,-0.024426391737693873,0.3648914414091989,0.02122996378390007,1,1,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.2550690257394217,-1.0,-1.0,0.47775520484808576,0.4977507266578434,1.7379612882687971,-1.249104045110378,-0.19962626201910305,1.6854129995006268,0.5070970119545885,-0.2010089857250773,-0.25887494057473753,0.019933711307105584,0.11238236108331011,0.427796155755419,0.5845774105672512,-0.7172076836828071,-0.7468703484402205,-0.6729309143203632,0.6931979436584688,1.075940395459519,1.2424225982785706,0.10592542796516699,0.6055008522787096,0.3927090132960757,1.0782843209447042,-0.024426391737693873,0.6263141886070847,0.02122996378390007,1,1,0,0
0,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0.9560342718892494,0.9478274870593494,0.3377407671331422,0.6345624596064585,1.5454253879840834,-1.272139218270468,-0.3082024162558784,1.646020317227049,0.4309308198046779,-0.1962194611137539,-0.34656409817664396,-0.013041832457926937,0.11238236108331011,0.427796155755419,0.5845774105672512,-0.7172076836828071,-0.7468703484402205,-0.6729309143203632,0.6931979436584688,1.075940395459519,1.2424225982785706,0.10586612737843583,0.6055008522787096,0.3927090132960757,0.7824914435199192,-0.024426391737693873,0.3648914414091989,0.02122996378390007,1,1,0,0
0,1,0,0,0,0,-1.0,-1.0,0.05655136772680869,-1.0,-1.0,-1.0,0.47775520484808576,0.4977507266578434,1.7379612882687971,-1.249104045110378,-0.19962626201910305,1.6854129995006268,0.5070970119545885,-0.2010089857250773,-0.25887494057473753,0.019933711307105584,0.11238236108331011,0.427796155755419,0.5845774105672512,-0.7172076836828071,-0.7468703484402205,-0.6729309143203632,0.6931979436584688,1.075940395459519,1.2424225982785706,0.10592542796516699,0.6055008522787096,0.3927090132960757,1.0782843209447042,-0.024426391737693873,0.6263141886070847,0.02122996378390007,1,1,0,0
0,1,0,0,0,0,-1.0,-1.0,0.23796462709189137,-1.0,-1.0,-1.0,-2.24635083684308,0.4414327495397288,-0.3684725632867454,0.21916395869693203,0.835400008920284,-1.0430203000683966,2.176880017190801,-0.3521898907282153,-0.04225857377044094,-0.6849315079719792,-0.9284088572492858,-0.793431006088086,-0.584584513104966,-0.7172076836828071,-0.7468703484402205,-0.6729309143203632,-0.4303996955999552,-0.25207177815512316,-0.11352301176954202,-0.9319913709156737,-0.8806999850485663,-1.6120480274066464,-1.9266083683048523,-1.9107674805137402,-2.0294201505614207,0.02122996378390007,1,1,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.5442292252959519,-1.0,-1.0,0.3377407671331422,0.6345624596064585,1.5454253879840834,-1.272139218270468,-0.3082024162558784,1.646020317227049,0.4309308198046779,-0.1962194611137539,-0.34656409817664396,-0.013041832457926937,0.11238236108331011,0.427796155755419,0.5845774105672512,-0.7172076836828071,-0.7468703484402205,-0.6729309143203632,0.6931979436584688,1.075940395459519,1.2424225982785706,0.10586612737843583,0.6055008522787096,0.3927090132960757,0.7824914435199192,-0.024426391737693873,0.3648914414091989,0.02122996378390007,1,0,0,0
