filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,svg_fill_r,diff_fill_r,svg_fill_g,diff_fill_g,svg_fill_b,diff_fill_b,svg_stroke_r,diff_stroke_r,svg_stroke_g,diff_stroke_g,svg_stroke_b,diff_stroke_b,rel_width,rel_height,rel_x_position,rel_y_position,nr_paths_svg,animated,animated_animation_ids,rel_position_to_animations,rel_x_position_to_animations,rel_y_position_to_animations
logo_157,13,-0.7634050130116232,-1.2473031567971746,0.8544706169521173,-0.5711497070729862,-0.04959956696101656,-0.03643377097808481,-0.30863105142411845,0.628023958765607,-1.1719296171145275,-0.19260658682441173,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,157,157,156,0.40308920000873,-0.27715803740276035,0.5838377668565979,-0.11922960524385823,0.7037537831123755,-0.05693096825984514,32.86666666666667,124.13333333333333,35.733333333333334,121.26666666666668,41.06666666666667,114.93333333333334,-0.2313841385226994,-0.4996346076243841,-1.2862598383192985,-1.5936106307328675,-0.4666626737929461,1,"[11, 13, 14, 12]","(0.25042433940079745, 0.10000088254242823)",-0.9942375686053302,-1.7315049256410793
logo_157,14,-0.2536327755194349,-1.712727110933085,0.9645458575164484,-0.13043237450377035,1.009966955550274,0.308759522289045,-0.9286100853932895,-0.11010878112165261,0.16700624310382522,-0.7588562885048172,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,157,157,156,0.40308920000873,-0.27715803740276035,0.5838377668565979,-0.11922960524385823,0.7037537831123755,-0.05693096825984514,32.86666666666667,124.13333333333333,35.733333333333334,121.26666666666668,41.06666666666667,114.93333333333334,-0.2313841385226994,-0.46316742755809637,-1.2862598383192985,2.36163599938721,-0.4666626737929461,1,"[11, 13, 14, 12]","(0.25042433940079745, 0.8949995146016645)",-0.9942375686053302,1.766636323276696
logo_157,12,-0.4826927079980736,-1.6675743633957216,0.08687901562993128,2.4578002732027304,1.9065407777109256,1.2450670273467765,-0.4709774556983842,-0.20516332879980798,-2.1310417976263847,0.7900744971504315,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.40308920000873,-1.704143169343875,0.5838377668565979,-1.2776120152999535,0.7037537831123755,-0.16013879726628258,32.86666666666667,-10.866666666666667,35.733333333333334,29.266666666666666,41.06666666666667,106.93333333333334,-0.4481927333718475,1.1415494273094313,-1.2862598383192985,0.4213234322020663,-0.4666626737929461,1,"[11, 13, 14, 12]","(0.25042433940079745, 0.5049996028559072)",-0.9942375686053302,0.050564466878241274
logo_158,11,0.4935807803219736,-0.3373680185209573,0.184379588130299,-1.012714896564048,-0.5804634650129754,0.5013295014733452,-0.3211749393066345,-1.6191373923693984,-0.0284520468676284,0.4499495895060188,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.37345603374810976,-1.6803600838115234,0.5603494620228241,-1.2583056417990186,0.7017366247779477,-0.15841866678284203,1.8333333333333333,20.166666666666668,5.416666666666667,59.583333333333336,12.333333333333334,135.66666666666666,-0.8276191908871009,2.3258411540239594,0.2473344794811551,0.3336129454226978,-0.6339378162658886,1,[11],"(0.9086879661078099, 0.5000000000000001)",1.6184902605332987,0.028565288171286663
logo_159,12,0.28735227087436654,0.5236108625990197,-0.031096692169433757,-0.21513422498098983,-0.807414993303663,0.8849586329418226,-0.32083978140334224,1.6376545374921172,-0.9697031164103659,-1.2939165416068399,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,157,157,156,0.3848534053868098,-0.26252229245977454,0.5693834254204294,-0.1073487600125137,0.7025124549065737,-0.05587242642388168,13.76923076923077,143.23076923076923,17.076923076923077,139.92307692307693,23.384615384615383,132.6153846153846,1.342679902458492,0.0035119254850761953,0.407215640938111,-1.2504203354801513,-0.5781794354415745,1,"[12, 11]","(0.5532684365451553, 0.3279573440947406)",0.20778722571253133,-0.7284542674934489
logo_159,11,0.4024997590982134,-0.7795373768879359,-0.8628494392373119,-0.7319411737659115,-0.6210066564974036,-0.1388235462407284,0.20067625382850773,0.28871472282826854,0.2703267502582156,0.14424993807702163,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.3848534053868098,-1.6895074244008892,0.5693834254204294,-1.265731170068609,0.7025124549065737,-0.15908025543031912,13.76923076923077,8.23076923076923,17.076923076923077,47.92307692307692,23.384615384615383,124.6153846153846,-0.6646120985204486,-0.22329653059005342,0.19549660980137404,-0.21366246931988697,-0.5781794354415745,1,"[12, 11]","(0.47387713073746185, 0.7323917101963077)",-0.10732645467275967,1.051131861950845
logo_160,11,0.3227279187054064,-0.39932217074681364,-0.11143742808018633,-1.2757013730223896,-0.017886499614447913,1.4309922375276876,0.5675206287669626,-0.6942060678802496,0.8931360449444655,0.6342578440550725,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.3848534053868098,-1.6895074244008892,0.5693834254204294,-1.265731170068609,0.7025124549065737,-0.15908025543031912,13.76923076923077,8.23076923076923,17.076923076923077,47.92307692307692,23.384615384615383,124.6153846153846,-0.32430800414847094,0.037639864703990236,0.17980738316080855,0.25892805679561487,-0.5781794354415745,1,"[11, 12]","(0.4464280038003342, 0.7311835374357386)",-0.2162753543605026,1.0458156779989076
logo_160,12,0.11580051545283229,1.1816176961047649,0.7281916385093329,0.1690292882367404,-0.44754132196815033,1.665910389139701,0.1802068628663933,2.559187409438911,-0.696287312250401,-1.5950609943944407,0,1.0,1.0,0.04237054769555604,0.328459940530037,0.46198330707830115,157,157,156,0.3848534053868098,-0.26252229245977454,0.5693834254204294,-0.1073487600125137,0.7025124549065737,-0.05587242642388168,13.76923076923077,143.23076923076923,17.076923076923077,139.92307692307693,23.384615384615383,132.6153846153846,3.2374545585669248,0.3163230123162086,0.4065216881337087,-1.0370555954223188,-0.5781794354415745,1,"[11, 12]","(0.5, 0.32795884519399154)",-0.003641631860026796,-0.7284476623786766
logo_161,0,0.6254608824714345,-0.01568486895986643,0.15644627070251166,-0.7478349097260923,-1.0321927655477272,0.7140975478059645,0.19427207646539213,-1.6629227851699315,1.4615457184492089,0.363317748799321,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.48101345202739804,-1.7666838757437635,0.6854502160287937,-1.3611330658800849,0.8265482967206741,-0.2648517404457307,1.8333333333333333,20.166666666666668,5.416666666666667,59.583333333333336,12.333333333333334,135.66666666666666,-0.5023184740088834,2.4179651024098487,0.4511475177334264,0.3964496002854693,-0.6339378162658886,1,[0],"(0.8392192505287809, 0.49999999999999994)",1.3427605390601256,0.02856528817128593
logo_162,13,-0.44262259032758633,-1.908517935303564,0.6012887410928538,0.11313079061670114,-1.1615244844699382,-0.3521665295474053,1.228972782135827,2.20944609058517,-0.2889162620558717,0.31114742684983615,0,1.0,1.0,-1.2619678721833358,-0.7265014382549052,0.37420575538290846,22,65,148,0.3946225810771243,-1.6973480020489176,0.5771268226183766,-1.2720959085854004,0.7031774521596816,-0.15964733141387077,24.0,-2.0,27.071428571428573,37.92857142857143,32.857142857142854,115.14285714285714,0.2279590947225571,0.6376451536208213,-1.0621018974524747,-0.21140219235953497,-0.5224210546172603,1,"[13, 12]","(0.37783880128604197, 0.5750011443693608)",-0.488514182265966,0.3585842168264351
