filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,svg_fill_r,diff_fill_r,svg_fill_g,diff_fill_g,svg_fill_b,diff_fill_b,svg_stroke_r,diff_stroke_r,svg_stroke_g,diff_stroke_g,svg_stroke_b,diff_stroke_b,rel_width,rel_height,rel_x_position,rel_y_position,nr_paths_svg
logo_0,1,13.535693,6.9711313,-0.009867404,-0.915823,-2.9847412,5.3831086,0.4951105,-2.146576,4.8687043,-0.94459873,0,1.0,1.0,197,0,123,0,0,0,238.6,-41.599999999999994,162.6,-162.6,127.4,-4.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.4001799790394025,0.4720190141667347,0.7000899895197011,0.5643229197828795,10
logo_0,0,-1.0009823,4.641413,1.4557428,-0.487705,-1.0374309,6.984421,-0.48548436,-3.9338932,6.0302715,-1.2270602,0,1.0,1.0,250,187,0,0,0,0,238.6,11.400000000000006,162.6,24.400000000000006,127.4,-127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6715527343652601,0.25,0.33577636718263004,10
logo_0,2,10.5906725,0.5333701,8.743198,0.24154612,-2.132272,0.6203738,1.6871532,6.592582,3.0344706,-1.5641049,0,1.0,1.0,236,116,4,0,0,0,238.6,-2.5999999999999943,162.6,-46.599999999999994,127.4,-123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7871938072178429,0.3283235566834655,0.4999911632674701,0.8358382216582674,10
logo_0,3,4.222565,-0.73571146,5.308626,-0.0909095,-4.8759065,2.4101236,0.3149571,-1.7712548,3.811236,-0.73184884,0,1.0,1.0,197,0,123,0,0,0,238.6,-41.599999999999994,162.6,-162.6,127.4,-4.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.40020619606645524,0.4720190141667345,0.2998969019667724,0.5643229197828794,10
logo_0,4,1.7762775,8.866785,-2.7706463,-0.95576626,-4.7256045,5.412009,0.59761584,2.3314424,2.209505,-1.6069221,0,1.0,1.0,236,116,4,0,0,0,238.6,-2.5999999999999943,162.6,-46.599999999999994,127.4,-123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5869004276978544,0.3154754984582055,0.5001060407903573,0.1703812636898346,10
logo_0,5,6.0329137,13.505794,1.0092697,-2.1167617,-5.3087826,-0.8829963,0.7765515,-0.714883,3.5501573,-0.15651816,0,1.0,1.0,250,187,0,0,0,0,238.6,11.400000000000006,162.6,24.400000000000006,127.4,-127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6715468194549717,0.75,0.33577932463777427,10
logo_0,7,16.155708,-9.683632,3.990172,1.1609077,-0.5338477,0.5165073,0.45628145,-1.5691264,1.1530269,0.51330715,0,1.0,1.0,255,255,255,0,0,0,238.6,16.400000000000006,162.6,92.4,127.4,127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.030628114948216868,0.15318702709292106,0.41980665229224834,0.8760082854079454,10
logo_0,8,19.34964,-6.6882114,2.912101,4.61842,-0.7080785,1.3967069,1.0312077,1.0030717,1.7334906,-0.050420575,0,1.0,1.0,255,255,255,0,0,0,238.6,16.400000000000006,162.6,92.4,127.4,127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.12588809161924278,0.14852143235912646,0.5310080944469971,0.8746651596512474,10
logo_0,6,13.320419,-12.192281,5.5114617,2.1402779,-1.5211253,-0.5757658,1.1405346,-0.91459626,2.2544744,0.8091121,0,1.0,1.0,255,255,255,0,0,0,238.6,16.400000000000006,162.6,92.4,127.4,127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1292283765154998,0.16103370914521198,0.3125905765084303,0.8762557033104948,10
logo_0,9,23.06038,-3.503057,1.6428971,2.097448,-0.71044207,-0.955173,0.848701,-0.38198733,2.2555232,0.3763534,0,1.0,1.0,255,255,255,0,0,0,238.6,16.400000000000006,162.6,92.4,127.4,127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.12922837651549962,0.16112207268183698,0.6858011381711498,0.8762998850788073,10
