id,total_len,nb_groups,len_groups,max_len_group
Emsland Group,951,136,"[4, 4, 4, 4, 11, 9, 7, 9, 11, 7, 11, 14, 7, 9, 11, 6, 7, 12, 11, 11, 7, 9, 10, 13, 6, 8, 11, 6, 13, 11, 7, 13, 7, 10, 12, 6, 8, 9, 6, 11, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 2, 7, 7, 7, 6, 6, 6, 6, 6, 6, 8, 10, 8, 8, 8, 8, 9, 9, 6, 4, 6, 10, 10, 10, 10, 6, 8, 8, 6, 8, 10, 8, 8, 7, 9, 9, 7, 4, 3, 9, 9, 6, 10, 4, 8, 6, 10, 10, 10, 10, 7, 7, 3, 8, 10, 6, 3, 6, 4, 6, 6, 6, 4, 6, 6, 6, 4, 4, 6, 4, 6, 6, 5, 6, 6, 4, 4, 4, 4]",14
Fischle & Schlienz,198,41,"[5, 4, 3, 4, 5, 4, 4, 7, 8, 8, 8, 8, 8, 6, 3, 8, 4, 4, 3, 5, 3, 3, 3, 3, 3, 6, 4, 4, 4, 5, 5, 5, 6, 4, 8, 6, 4, 3, 4, 3, 3]",8
Fondium,146,12,"[10, 12, 8, 10, 10, 10, 14, 18, 2, 30, 10, 12]",30
Frankana,70,12,"[7, 6, 6, 6, 7, 6, 6, 6, 8, 4, 4, 4]",8
GeAT,148,24,"[5, 11, 7, 8, 6, 4, 4, 8, 4, 5, 8, 4, 2, 6, 6, 2, 6, 16, 8, 8, 7, 3, 4, 6]",16
Grimme Landmaschinenfabrik GmbH & Co. KG,102,10,"[5, 5, 8, 12, 5, 14, 14, 15, 18, 6]",18
Gkv informatik,400,47,"[8, 16, 12, 12, 5, 5, 9, 15, 21, 7, 10, 12, 13, 5, 8, 5, 6, 4, 4, 6, 8, 3, 7, 8, 8, 8, 8, 8, 10, 8, 9, 11, 12, 14, 12, 9, 11, 9, 3, 9, 8, 6, 6, 6, 6, 6, 4]",21
Glashütte Original,230,23,"[46, 18, 6, 7, 4, 4, 43, 8, 6, 6, 4, 5, 6, 11, 3, 3, 7, 5, 9, 14, 5, 4, 6]",46
Flughafen Nürnberg GmbH,847,94,"[10, 8, 8, 16, 10, 6, 18, 10, 18, 6, 6, 6, 18, 6, 6, 10, 12, 18, 4, 6, 8, 22, 10, 8, 10, 22, 22, 10, 10, 6, 8, 6, 8, 22, 8, 10, 8, 6, 8, 8, 8, 6, 7, 4, 8, 10, 6, 8, 10, 6, 6, 2, 2, 6, 6, 8, 8, 8, 4, 4, 6, 6, 4, 4, 4, 4, 4, 16, 8, 18, 8, 18, 12, 10, 18, 14, 18, 18, 18, 2, 4, 4, 4, 4, 4, 7, 7, 7, 6, 6, 12, 14, 4, 5]",22
Hannover Rück SE,199,33,"[9, 6, 2, 2, 6, 6, 6, 4, 4, 2, 2, 2, 2, 6, 6, 2, 6, 6, 8, 12, 2, 2, 14, 13, 15, 15, 6, 8, 5, 4, 6, 6, 4]",15
Hansa-Flex,114,13,"[8, 6, 12, 4, 4, 11, 13, 6, 6, 11, 7, 13, 13]",13
Hanwha Q Cells,88,7,"[12, 11, 13, 14, 18, 10, 10]",18
Hannoversche,360,45,"[6, 13, 8, 5, 5, 12, 7, 11, 11, 8, 13, 14, 13, 13, 4, 4, 4, 12, 12, 8, 5, 5, 13, 12, 5, 13, 10, 10, 11, 9, 6, 11, 7, 4, 4, 4, 4, 3, 4, 5, 5, 5, 9, 4, 9]",14
Harpen AG,96,9,"[7, 13, 12, 13, 7, 7, 15, 13, 9]",15
HDI-Gerling,110,14,"[5, 5, 5, 7, 7, 5, 11, 11, 13, 12, 7, 5, 11, 6]",13
Grohe,318,10,"[79, 35, 39, 45, 13, 15, 22, 24, 23, 23]",79
hema,123,6,"[15, 18, 26, 26, 28, 10]",28
Heraeus,102,10,"[13, 12, 11, 11, 13, 15, 10, 6, 6, 5]",15
