filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,rel_width,rel_height
L_7sins_03_1,0,1.4931012,-1.2616293,-1.1611124,10.986394,-2.4550822,9.184877,-3.428116,2.0506074,-0.6295643,-2.0922334,-0.94253904,-0.8538182,-0.4160734,-0.11697748,-0.013931668,0,1.0,1.0,236,116,4,0,0,0,0.9828716063936757,0.8825474832345774
L_7sins_03_1,1,4.4952793,6.423335,0.30385166,12.874041,-2.4660244,8.914491,-2.8174005,2.2315612,-0.81703496,-2.1885495,-0.900915,-0.66156447,-0.28813148,-0.06446898,-0.07758684,0,1.0,1.0,0,0,0,236,116,4,0.9828716063936757,0.8825474832345774
L_7sins_03_1,10,-6.40649,-10.46753,5.4763975,0.63959956,1.9825772,0.49747354,-1.2918881,-0.25053576,-0.65902644,0.12456127,0.06267784,-0.15467913,0.17930394,-0.08944285,-0.31141758,0,1.0,1.0,197,0,123,236,116,4,0.0426868216321676,0.05714842174088452
L_7sins_03_1,11,-4.699923,-13.2598505,1.4933794,1.6130128,4.2908854,1.0048816,4.4778676,-0.4251523,0.13730797,-0.38914937,-0.5213777,0.016753081,-0.023860453,-1.6210369,0.34476876,0,1.0,1.0,197,0,123,236,116,4,0.04929316066147997,0.05678672286910694
L_7sins_03_1,12,-2.4356036,-11.171728,5.6923757,0.5234861,2.9461179,-0.60876393,-1.0787643,-0.3262517,-0.21440952,-0.06270794,-0.18327942,0.1189472,-0.60709035,0.06665202,-0.027050156,0,1.0,1.0,197,0,123,236,116,4,0.047761866786865836,0.05379767682135806
L_7sins_03_1,15,2.341161,-9.435406,7.2326236,1.7626568,2.805187,-0.94526315,-0.86384106,-1.8865842,0.60310435,-0.8536162,-0.529039,0.39426664,-0.7072614,-0.04433033,-0.16590658,0,1.0,1.0,197,0,123,236,116,4,0.05239367777915007,0.05599387770602535
L_7sins_03_1,14,-1.7677768,-14.954348,0.89370865,1.1361642,3.5348134,0.7553547,2.0437953,0.1449745,-0.3055439,-0.6064732,0.64480716,0.014272584,0.093888745,-0.5640243,0.21345554,0,1.0,1.0,197,0,123,236,116,4,0.0487584872497244,0.05439790436293549
L_7sins_03_1,16,9.5838585,-12.37707,-0.750122,1.6778343,2.8106668,-0.31982335,-1.0171896,0.019898543,-0.57100314,-0.03164337,-0.08949671,-0.39775681,0.25180742,0.16233198,0.13045435,0,1.0,1.0,197,0,123,236,116,4,0.0426868216321676,0.057190156226090395
L_7sins_03_1,17,10.925278,-7.3071012,5.951373,3.224614,4.3242917,-2.00522,-0.14625601,-1.5183245,0.5822616,-1.5561944,-0.6852661,0.46183422,-1.0686258,0.69194394,0.66445,0,1.0,1.0,197,0,123,236,116,4,0.04082841706824165,0.0598037466819441
L_7sins_03_1,2,4.572986,-1.7789725,-0.3330188,7.570193,-2.6559,8.293193,-3.5697837,1.4245224,0.01634348,-1.751583,-1.0970021,-0.77576685,-0.24760348,-0.045052763,0.09063229,0,1.0,1.0,255,255,255,236,116,4,0.6535834402413229,0.5868897894227713
