,filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,svg_fill_r,diff_fill_r,svg_fill_g,diff_fill_g,svg_fill_b,diff_fill_b,svg_stroke_r,diff_stroke_r,svg_stroke_g,diff_stroke_g,svg_stroke_b,diff_stroke_b,rel_width,rel_height,rel_x_position,rel_y_position,nr_paths_svg,nr_commands
0,logo_0,0,-7.9935303,6.8516645,-0.5195681,8.091607,2.4261754,-0.87659484,-4.6215525,-4.010877,-4.9451017,-0.22757824,0.39437675,-0.30937696,1.2359197,-0.37081656,0.13996312,0,1.0,1.0,250,187,0,0,0,0,238.6,11.400000000000006,162.6,24.400000000000006,127.4,-127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4885508047247358,0.6519365554667521,0.2671737929128963,0.35517846167678424,10,7
1,logo_0,1,10.938681,8.216027,-1.2439522,5.555942,4.1689157,0.26859286,-3.591801,-1.6222693,-3.3881845,-0.2615224,0.26508915,-0.40160123,-0.35377526,-0.2814222,0.17376015,0,1.0,1.0,197,0,123,0,0,0,238.6,-41.599999999999994,162.6,-162.6,127.4,-4.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.391016501588856,0.45823125193813813,0.7069574460696921,0.5770491274359486,10,7
2,logo_0,3,3.1650636,3.3477824,-0.9565347,2.6198194,5.96561,0.115027875,-0.9303216,-0.7376223,-2.8989828,0.911819,-0.6390917,1.3530656,-0.9817429,-0.90594625,0.7604119,0,1.0,1.0,197,0,123,0,0,0,238.6,-41.599999999999994,162.6,-162.6,127.4,-4.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.3910421182881842,0.4582312519381379,0.3159281361311721,0.5770491274359484,10,4
3,logo_0,2,-0.961602,-8.116153,-4.2203712,6.060873,4.1489444,3.7269826,1.2099003,5.233219,-1.146548,-0.52902925,-0.08290725,1.0360587,0.42358962,-0.2591221,0.21496809,0,1.0,1.0,236,116,4,0,0,0,238.6,-2.5999999999999943,162.6,-46.599999999999994,127.4,-123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7691683359812114,0.31873316519978745,0.511440560889687,0.8406334174001062,10,5
4,logo_0,4,4.9635944,7.9408793,-0.20684506,5.606139,4.9063387,1.8561012,-3.4072702,1.3466507,-1.1037896,-1.4307547,0.48362455,0.4706219,-0.9810305,-0.06047585,0.43770418,0,1.0,1.0,236,116,4,0,0,0,238.6,-2.5999999999999943,162.6,-46.599999999999994,127.4,-123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5734613524901568,0.3062604011186029,0.5115528079021896,0.1946145795803524,10,4
5,logo_0,5,9.25404,11.558194,-3.2357519,6.603274,6.2359266,1.5955578,2.5701966,0.62020123,-3.3459516,3.234737,-1.7595818,1.541712,1.0294235,-1.2455484,0.04462508,0,1.0,1.0,250,187,0,0,0,0,238.6,11.400000000000006,162.6,24.400000000000006,127.4,-127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4885508047247358,0.6519308133320811,0.755724597637632,0.35518133274411967,10,7
6,logo_0,7,5.1721396,-9.338383,-1.2092098,-1.2334588,0.8533966,-0.4865876,-0.70672745,-0.24425288,-0.5746158,0.3782362,-0.64898866,0.13275808,-0.06687542,0.14500876,0.109423004,0,1.0,1.0,255,255,255,0,0,0,238.6,16.400000000000006,162.6,92.4,127.4,127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02992678041030612,0.14871240585379297,0.43309214616287894,0.8796301061986378,10,16
7,logo_0,6,5.0704303,-10.505772,-0.7516209,-1.8509512,1.6174778,0.52354693,-0.61531734,0.16593663,-1.6792245,1.4870871,-1.2717271,0.02535923,-0.654602,0.43693507,0.32658938,0,1.0,1.0,255,255,255,0,0,0,238.6,16.400000000000006,162.6,92.4,127.4,127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.12626925467983713,0.15632988487999103,0.3283311459556539,0.879870296978743,10,14
8,logo_0,8,2.697763,-6.107926,4.032678,-1.1223204,1.9082022,0.86493456,-1.4273862,1.0717381,-0.48329812,-0.120114796,-0.115370736,0.10616516,-0.45133987,-0.16217443,0.09875844,0,1.0,1.0,255,255,255,0,0,0,238.6,16.400000000000006,162.6,92.4,127.4,127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.12300545693168466,0.1441830940003779,0.5417472542653863,0.8783262133923521,10,7
9,logo_0,9,5.73728,-2.5001237,2.1510456,-3.5231588,2.3557413,0.40835884,-0.10473696,0.70539135,-1.286821,1.0299929,-0.96608,0.25565952,-0.39199737,0.2712415,0.18998215,0,1.0,1.0,255,255,255,0,0,0,238.6,16.400000000000006,162.6,92.4,127.4,127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.126269254679837,0.1564156673014573,0.6929957864198384,0.879913188189476,10,15
