an_vec_0,an_vec_1,an_vec_2,an_vec_3,an_vec_4,an_vec_5,an_vec_6,an_vec_7,an_vec_8,an_vec_9,an_vec_10,an_vec_11,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,fill_r,fill_g,fill_b,svg_fill_r,svg_fill_g,svg_fill_b,diff_fill_r,diff_fill_g,diff_fill_b,rel_height,rel_width,rel_x_position,rel_y_position,nr_paths_svg,rating_0,rating_1,rating_2,rating_3
0,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0.8444218515250481,0.7579544029403025,-12.980438,4.639808,-1.0262893,1.5293572,1.860201,-2.6823142,3.155013,-0.36760017,0.6207919,-0.5975531,0.0,0.0,0.0,24.541666666666668,24.541666666666668,24.541666666666668,-24.541666666666668,-24.541666666666668,-24.541666666666668,0.091875,0.0547514254158407,0.0338374926110589,-0.0449652777777777,24.0,1,1,1,0
0,0,0,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.401122,1.7443686,9.253009,-3.9227793,2.0277584,5.604469,3.4671576,-0.30960435,-0.14217755,-0.14508383,167.0,167.0,167.0,24.541666666666668,24.541666666666668,24.541666666666668,142.45833333333334,142.45833333333334,142.45833333333334,0.3957812488888889,0.3959924669153534,0.5015088136565641,0.5408940955555556,24.0,1,1,1,0
0,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.147661,1.5247699,9.491141,-3.86013,2.0708404,5.6540756,3.5075314,-0.30837417,-0.121329546,-0.13030675,167.0,167.0,167.0,24.541666666666668,24.541666666666668,24.541666666666668,142.45833333333334,142.45833333333334,142.45833333333334,0.3957986133333333,0.3959924669153534,0.5015088136565641,0.6048611111111111,24.0,1,1,1,0
1,0,0,0,0,0,0.13436424411240122,0.8474337369372327,-1.0,-1.0,-1.0,-1.0,-12.980438,4.639808,-1.0262893,1.5293572,1.860201,-2.6823142,3.155013,-0.36760017,0.6207919,-0.5975531,0.0,0.0,0.0,24.541666666666668,24.541666666666668,24.541666666666668,-24.541666666666668,-24.541666666666668,-24.541666666666668,0.091875,0.0547514254158407,0.0338374926110589,-0.0449652777777777,24.0,0,0,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.763774618976614,-1.0,-1.0,9.401122,1.7443686,9.253009,-3.9227793,2.0277584,5.604469,3.4671576,-0.30960435,-0.14217755,-0.14508383,167.0,167.0,167.0,24.541666666666668,24.541666666666668,24.541666666666668,142.45833333333334,142.45833333333334,142.45833333333334,0.3957812488888889,0.3959924669153534,0.5015088136565641,0.5408940955555556,24.0,1,1,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.2550690257394217,-1.0,-1.0,9.147661,1.5247699,9.491141,-3.86013,2.0708404,5.6540756,3.5075314,-0.30837417,-0.121329546,-0.13030675,167.0,167.0,167.0,24.541666666666668,24.541666666666668,24.541666666666668,142.45833333333334,142.45833333333334,142.45833333333334,0.3957986133333333,0.3959924669153534,0.5015088136565641,0.6048611111111111,24.0,1,1,0,0
0,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0.9560342718892494,0.9478274870593494,9.401122,1.7443686,9.253009,-3.9227793,2.0277584,5.604469,3.4671576,-0.30960435,-0.14217755,-0.14508383,167.0,167.0,167.0,24.541666666666668,24.541666666666668,24.541666666666668,142.45833333333334,142.45833333333334,142.45833333333334,0.3957812488888889,0.3959924669153534,0.5015088136565641,0.5408940955555556,24.0,1,1,0,0
0,1,0,0,0,0,-1.0,-1.0,0.05655136772680869,-1.0,-1.0,-1.0,9.147661,1.5247699,9.491141,-3.86013,2.0708404,5.6540756,3.5075314,-0.30837417,-0.121329546,-0.13030675,167.0,167.0,167.0,24.541666666666668,24.541666666666668,24.541666666666668,142.45833333333334,142.45833333333334,142.45833333333334,0.3957986133333333,0.3959924669153534,0.5015088136565641,0.6048611111111111,24.0,1,1,0,0
0,1,0,0,0,0,-1.0,-1.0,0.23796462709189137,-1.0,-1.0,-1.0,-12.980438,4.639808,-1.0262893,1.5293572,1.860201,-2.6823142,3.155013,-0.36760017,0.6207919,-0.5975531,0.0,0.0,0.0,24.541666666666668,24.541666666666668,24.541666666666668,-24.541666666666668,-24.541666666666668,-24.541666666666668,0.091875,0.0547514254158407,0.0338374926110589,-0.0449652777777777,24.0,1,1,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.5442292252959519,-1.0,-1.0,9.401122,1.7443686,9.253009,-3.9227793,2.0277584,5.604469,3.4671576,-0.30960435,-0.14217755,-0.14508383,167.0,167.0,167.0,24.541666666666668,24.541666666666668,24.541666666666668,142.45833333333334,142.45833333333334,142.45833333333334,0.3957812488888889,0.3959924669153534,0.5015088136565641,0.5408940955555556,24.0,1,0,0,0
