an_vec_0,an_vec_1,an_vec_2,an_vec_3,an_vec_4,an_vec_5,an_vec_6,an_vec_7,an_vec_8,an_vec_9,an_vec_10,an_vec_11,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,fill_r,fill_g,fill_b,svg_fill_r,svg_fill_g,svg_fill_b,diff_fill_r,diff_fill_g,diff_fill_b,rel_height,rel_width,rel_x_position,rel_y_position,rel_x_position_to_animations,rel_y_position_to_animations,nr_paths_svg,rating_0,rating_1,rating_2,rating_3
0,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0.8444218515250481,0.7579544029403025,-13.020584,4.7116976,-0.9848839,1.5521021000000002,1.8596482,-2.4639041,3.3274007000000005,-0.37656486,0.63040346,-0.5955107,60.0,60.0,60.0,64.54166666666667,64.54166666666667,64.54166666666667,-4.541666666666671,-4.541666666666671,-4.541666666666671,0.08423934680109069,0.05475168933808315,0.03383765572036357,0.042119673400545336,0.0395007267267509,0.05140359391374784,24.0,1,1,1,0
0,0,0,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.318763,1.5992116000000003,9.305925,-3.9200861000000002,2.0132651000000004,5.8336287,3.0726077999999997,-0.38168284,-0.12656027,-0.13394986,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3628882055240261,0.395994375746385,0.5015112311156477,0.5792887719245869,0.7143089864296067,0.706974256605219,24.0,1,1,1,0
0,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.063248,1.3779131000000002,9.541101,-3.8601074,2.0565941000000003,5.885443,3.1089597,-0.38079822,-0.10554929,-0.11913944,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3629041268242445,0.395994375746385,0.5015112311156477,0.6379395431595825,0.7143089864296067,0.7785526945152526,24.0,1,1,1,0
1,0,0,0,0,0,0.13436424411240122,0.8474337369372327,-1.0,-1.0,-1.0,-1.0,-13.020584,4.7116976,-0.9848839,1.5521021000000002,1.8596482,-2.4639041,3.3274007000000005,-0.37656486,0.63040346,-0.5955107,60.0,60.0,60.0,64.54166666666667,64.54166666666667,64.54166666666667,-4.541666666666671,-4.541666666666671,-4.541666666666671,0.08423934680109069,0.05475168933808315,0.03383765572036357,0.042119673400545336,0.0395007267267509,0.05140359391374784,24.0,0,0,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.763774618976614,-1.0,-1.0,9.318763,1.5992116000000003,9.305925,-3.9200861000000002,2.0132651000000004,5.8336287,3.0726077999999997,-0.38168284,-0.12656027,-0.13394986,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3628882055240261,0.395994375746385,0.5015112311156477,0.5792887719245869,0.7143089864296067,0.706974256605219,24.0,1,1,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.2550690257394217,-1.0,-1.0,9.063248,1.3779131000000002,9.541101,-3.8601074,2.0565941000000003,5.885443,3.1089597,-0.38079822,-0.10554929,-0.11913944,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3629041268242445,0.395994375746385,0.5015112311156477,0.6379395431595825,0.7143089864296067,0.7785526945152526,24.0,1,1,0,0
0,0,0,1,0,0,-1.0,-1.0,-1.0,-1.0,0.9560342718892494,0.9478274870593494,9.318763,1.5992116000000003,9.305925,-3.9200861000000002,2.0132651000000004,5.8336287,3.0726077999999997,-0.38168284,-0.12656027,-0.13394986,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3628882055240261,0.395994375746385,0.5015112311156477,0.5792887719245869,0.5,0.4304244359529368,24.0,1,1,0,0
0,1,0,0,0,0,-1.0,-1.0,0.05655136772680869,-1.0,-1.0,-1.0,9.063248,1.3779131000000002,9.541101,-3.8601074,2.0565941000000003,5.885443,3.1089597,-0.38079822,-0.10554929,-0.11913944,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3629041268242445,0.395994375746385,0.5015112311156477,0.6379395431595825,0.5,0.5695566796728625,24.0,1,1,0,0
0,1,0,0,0,0,-1.0,-1.0,0.23796462709189137,-1.0,-1.0,-1.0,-13.020584,4.7116976,-0.9848839,1.5521021000000002,1.8596482,-2.4639041,3.3274007000000005,-0.37656486,0.63040346,-0.5955107,60.0,60.0,60.0,64.54166666666667,64.54166666666667,64.54166666666667,-4.541666666666671,-4.541666666666671,-4.541666666666671,0.08423934680109069,0.05475168933808315,0.03383765572036357,0.042119673400545336,0.03978952630686397,0.05140359391374784,24.0,1,1,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.5442292252959519,-1.0,-1.0,9.318763,1.5992116000000003,9.305925,-3.9200861000000002,2.0132651000000004,5.8336287,3.0726077999999997,-0.38168284,-0.12656027,-0.13394986,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3628882055240261,0.395994375746385,0.5015112311156477,0.5792887719245869,0.7143948870097082,0.706974256605219,24.0,1,0,0,0
