filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,href,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,svg_fill_r,diff_fill_r,svg_fill_g,diff_fill_g,svg_fill_b,diff_fill_b,svg_stroke_r,diff_stroke_r,svg_stroke_g,diff_stroke_g,svg_stroke_b,diff_stroke_b,rel_width,rel_height,rel_x_position,rel_y_position,nr_paths_svg
logo_127,59,-0.5578969,-6.185867,1.9192189999999998,-4.2789779999999995,-0.16599534,-0.17497872,-0.11568526,1.1414621999999999,-0.04088406,-0.06257337,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.04496017972588477,0.2895026673550164,0.4149328275026841,194
logo_127,58,9.401486,-3.9113513999999996,0.25267535,-5.0194297,0.22159211,-0.56517637,-0.16762838,1.0820341999999998,0.11859976,0.08308878,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.04496017972588446,0.2895026673550164,0.3474925579138572,194
logo_127,60,6.876225999999999,-7.9915667,2.4459133,-4.045043499999999,0.41354236,-0.41692427,-0.07933711,1.0443031999999999,0.0047539105,0.06449734,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.04496017972588446,0.2895026673550164,0.4824095907438855,194
logo_127,6,16.103489,4.3949823,-7.453094,2.6811477999999997,-0.72342217,-0.36119112,-0.022230202,0.7625899,0.7782826,0.10711511,,0.0,1.0,1.0,112,111,111,0,0,0,32.71649484536083,79.28350515463917,67.5,43.5,124.80927835051548,-13.80927835051547,0.0,0.0,0.0,0.0,0.0,0.0,0.04942360144901735,0.18392800796952768,0.6172776241628153,0.9064658313402958,194
logo_127,63,-4.930815,-1.2736658,0.061233323,-4.4697127,-0.3843603,0.15837552,-0.19845946,0.97197396,-0.4652048,-0.10530553,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.04496027858096117,0.3213216313887455,0.21257547565629056,194
logo_127,64,-5.141373000000001,-1.5340791999999999,0.30349824,-4.452197,-0.18314993,0.2593391,-0.13407612,0.9628934000000001,-0.38782135,-0.064614564,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.044960179725884564,0.3213216313887455,0.2800157946726555,194
logo_127,61,-0.43590656,1.2818232,-2.3277755,-5.580598,-0.78495,0.11782339,-0.09504226,0.8901533000000001,-0.49365422,-0.038592674,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.04496017972588461,0.3213216313887455,0.07762199860142563,194
logo_127,62,6.501479,-2.7823002,-0.6678641,-5.1932434999999995,-0.395225,-0.49649322,-0.13433543,1.0094994000000002,0.038163897,0.09925357,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.044960179725884536,0.3213216313887455,0.14509876184262727,194
logo_127,65,3.9231203000000003,-3.807482,-0.22651987,-4.958019999999999,-0.6415347,-0.3993053,-0.07790276,1.0612823999999998,-0.051381014,0.0647451,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.04496017972588446,0.3213216313887455,0.3474925579138572,194
logo_127,67,5.3802695,-5.751229,0.8647372,-4.5981510000000005,-0.26106665,-0.47424048,-0.091146655,1.0674382,-0.031995885,0.07157839,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.04496017972588446,0.3213216313887455,0.4824095907438855,194
logo_127,66,4.9040669999999995,-3.9040102999999995,-0.167001,-4.952641000000001,-0.53272367,-0.44359090000000007,-0.09829288,1.0513815,-0.027621116,0.07174614,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.04496017972588477,0.3213216313887455,0.4149328275026841,194
logo_127,68,0.608845,-1.95055,-1.0799346,-5.1533809999999995,-0.8411798,-0.1929013,-0.088919975,1.0307796999999999,-0.26790598,0.0013476907000000002,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.044960179725884536,0.3531405954224746,0.14509876184262727,194
logo_127,69,5.185094,0.9752146,-2.532844,-5.753851999999999,-0.70420426,-0.37941490000000005,-0.19143519,0.9528839,-0.23197678,0.0003262653,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.044960179725884716,0.3531405954224746,0.21253903143145392,194
logo_127,70,6.4821897,-3.3925972,-0.37156278,-5.084183,-0.34923628,-0.49491662,-0.11811261,1.0163783000000002,0.048842274000000005,0.10998488,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.04496017972588446,0.3531405954224746,0.2800157946726556,194
logo_127,71,1.1381123,-6.776461,1.9753083999999999,-4.264539,-0.17561562,-0.25902966,-0.10928522,1.1404854,0.010604538,-0.05661877,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.04496017972588446,0.3531405954224746,0.3474925579138572,194
logo_127,7,15.069898,6.3162065,-7.649435,-0.05978166,-2.017923,-1.5476976999999998,0.011259946000000002,1.4681377,-0.24141659,0.13584533,,0.0,1.0,1.0,112,111,111,0,0,0,32.71649484536083,79.28350515463917,67.5,43.5,124.80927835051548,-13.80927835051547,0.0,0.0,0.0,0.0,0.0,0.0,0.07090001720874183,0.1855337286740236,0.7049044914816727,0.9072321980401687,194
logo_127,72,2.772764,-3.010354,-0.7069350000000001,-5.0657883,-0.8071119999999999,-0.347965,-0.053963408,1.0780231000000002,-0.15677312,0.047695815999999995,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.04496017972588477,0.3531405954224746,0.4149328275026841,194
logo_127,73,4.7342277,-6.76783,1.5167986,-4.377257,-0.17316385,-0.45784453,-0.0903972,1.0818866000000003,-0.053838562,0.05176109,,0.0,1.0,1.0,0,73,148,0,0,0,32.71649484536083,-32.71649484536083,67.5,5.5,124.80927835051548,23.19072164948453,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459457,0.04496017972588446,0.3531405954224746,0.4824095907438855,194
logo_127,75,3.7647982000000004,-4.5431232,0.21105812,-4.8243504,-0.5806246,-0.4097245,-0.07417178,1.0799818,-0.03130468,0.062063117,,0.0,1.0,1.0,155,28,24,0,0,0,32.71649484536083,122.28350515463914,67.5,-39.5,124.80927835051548,-100.80927835051548,0.0,0.0,0.0,0.0,0.0,0.0,0.02120117019445892,0.04496017972588461,0.4485802787816211,0.07762199860142563,194
logo_127,74,1.6880138,-3.3597498,-0.43693426,-4.9763355,-0.79770136,-0.29746884,-0.04145311,1.0943186000000003,-0.14760992,0.034382607999999995,,0.0,1.0,1.0,155,28,24,0,0,0,32.71649484536083,122.28350515463914,67.5,-39.5,124.80927835051548,-100.80927835051548,0.0,0.0,0.0,0.0,0.0,0.0,0.02120117019445892,0.044960179725884536,0.4485802787816211,0.14509876184262727,194
logo_127,77,10.071889,2.1941266,-2.2542107000000002,-6.009436,-0.023731433,-0.6059313000000001,-0.34450686,1.0497553,0.048168447,-0.090834826,,0.0,1.0,1.0,155,28,24,0,0,0,32.71649484536083,122.28350515463914,67.5,-39.5,124.80927835051548,-100.80927835051548,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.044960179725884536,0.4803820340733091,0.14509876184262727,194
logo_127,76,8.0698595,2.5441412999999997,-2.759535,-6.039433,-0.21904822,-0.50101066,-0.3085369,1.0452548000000002,-0.045835517,-0.09582913,,0.0,1.0,1.0,155,28,24,0,0,0,32.71649484536083,122.28350515463914,67.5,-39.5,124.80927835051548,-100.80927835051548,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.04496017972588461,0.4803820340733091,0.07762199860142563,194
logo_127,79,6.2309775,4.737938400000001,-3.606533,-6.237208,-0.54656005,-0.3648341,-0.39306214,0.9407827,-0.21937302,-0.17311229,,0.0,1.0,1.0,155,28,24,0,0,0,32.71649484536083,122.28350515463914,67.5,-39.5,124.80927835051548,-100.80927835051548,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.044960179725884564,0.4803820340733091,0.2800157946726555,194
logo_127,78,4.076398999999999,-4.263173999999999,0.044897247,-4.8455877,-0.6177026,-0.4710037,-0.12297480000000001,1.0813286,-0.045866325,0.04355069,,0.0,1.0,1.0,155,28,24,0,0,0,32.71649484536083,122.28350515463914,67.5,-39.5,124.80927835051548,-100.80927835051548,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.04496027858096117,0.4803820340733091,0.21257547565629056,194
logo_127,80,8.412945,0.9066155,-2.1037842999999996,-5.810330400000001,-0.28012452,-0.5916411,-0.26684937,1.0309255,0.024830125,-0.0008385697,,0.0,1.0,1.0,155,28,24,0,0,0,32.71649484536083,122.28350515463914,67.5,-39.5,124.80927835051548,-100.80927835051548,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.04496017972588446,0.4803820340733091,0.3474925579138572,194
logo_127,8,16.91522,1.431743,-5.942952,-0.016965384,1.2121375,0.19347392,0.3567437,1.3027111,1.4095233999999999,0.12518021,,0.0,1.0,1.0,112,111,111,0,0,0,32.71649484536083,79.28350515463917,67.5,43.5,124.80927835051548,-13.80927835051547,0.0,0.0,0.0,0.0,0.0,0.0,0.07527103768714538,0.18560671597877335,0.8054207537429013,0.9071957043877942,194
logo_127,81,5.8095336,0.95819247,-2.482123,-5.7710357000000005,-0.54305977,-0.4094268,-0.20187035,0.9841793,-0.14342465,0.0013167226999999998,,0.0,1.0,1.0,155,28,24,0,0,0,32.71649484536083,122.28350515463914,67.5,-39.5,124.80927835051548,-100.80927835051548,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.04496017972588477,0.4803820340733091,0.4149328275026841,194
logo_127,82,0.92932105,-0.5194643,-1.7886785,-5.385202,-0.89585465,-0.15300039999999998,-0.13012336,0.9371775,-0.34815094,-0.0085106455,,0.0,1.0,1.0,155,28,24,0,0,0,32.71649484536083,122.28350515463914,67.5,-39.5,124.80927835051548,-100.80927835051548,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.04496017972588461,0.5122009981070382,0.07762199860142563,194
logo_127,83,2.7623076,-0.30253264,-2.0451194999999998,-5.464557599999999,-0.8521403000000001,-0.31088614,-0.17970839,0.9470885,-0.24262658,0.008517823,,0.0,1.0,1.0,155,28,24,0,0,0,32.71649484536083,122.28350515463914,67.5,-39.5,124.80927835051548,-100.80927835051548,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.044960179725884536,0.5122009981070382,0.14509876184262727,194
logo_127,85,1.6936098000000002,3.2688808,-3.244529,-5.972129,-0.7216585,-0.011957853000000001,-0.21338202,0.8666966,-0.34479046,-0.08301710000000001,,0.0,1.0,1.0,155,28,24,0,0,0,32.71649484536083,122.28350515463914,67.5,-39.5,124.80927835051548,-100.80927835051548,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.044960179725884564,0.5122009981070382,0.2800157946726555,194
logo_127,84,6.109635,6.5728800000000005,-4.0228505,-6.486567,-0.20415929,-0.20995502,-0.4625037,0.95707875,-0.11104199,-0.27004057,,0.0,1.0,1.0,155,28,24,0,0,0,32.71649484536083,122.28350515463914,67.5,-39.5,124.80927835051548,-100.80927835051548,0.0,0.0,0.0,0.0,0.0,0.0,0.021201170194459263,0.04496027858096117,0.5122009981070382,0.21257547565629056,194
