an_vec_0,an_vec_1,an_vec_2,an_vec_3,an_vec_4,an_vec_5,an_vec_6,an_vec_7,an_vec_8,an_vec_9,an_vec_10,an_vec_11,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,fill_r,fill_g,fill_b,svg_fill_r,svg_fill_g,svg_fill_b,diff_fill_r,diff_fill_g,diff_fill_b,rel_height,rel_width,rel_x_position,rel_y_position,rel_x_position_to_animations,rel_y_position_to_animations,nr_paths_svg,rating_0,rating_1,rating_2,rating_3
0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.84442186,0.7579544,-2.1602633,0.44506955,-0.36819208,0.21031153,0.83815455,-1.0177792,2.181343,-0.3529073,-0.039018758,-0.6908166,-0.89482075,-0.7838363,-0.59134734,-0.6960818,-0.7385283,-0.6718222,-0.42029697,-0.25363973,-0.122403435,-0.92182106,-0.8611895,-1.5662566,-1.881579,-1.8314189,-1.945342,0.035162754,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3545424,0.63773924,1.5588713,-1.288921,-0.3189904,1.6671008,0.43280149,-0.19571307,-0.34615254,-0.009741415,0.13898821,0.44312966,0.5826774,-0.6960818,-0.7385283,-0.6718222,0.7107209,1.0936095,1.2580013,0.094413534,0.6184558,0.41291708,0.7909241,0.8469766,0.9392904,0.035162754,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.49080274,0.50125337,1.7527316,-1.2657634,-0.20912848,1.7064325,0.50908077,-0.20054018,-0.2576484,0.023684941,0.13898821,0.44312966,0.5826774,-0.6960818,-0.7385283,-0.6718222,0.7107209,1.0936095,1.2580013,0.094471574,0.6184558,0.41291708,1.0827212,0.8469766,1.2542489,0.035162754,1.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.13436425,0.84743375,-1.0,-1.0,-1.0,-1.0,-2.1602633,0.44506955,-0.36819208,0.21031153,0.83815455,-1.0177792,2.181343,-0.3529073,-0.039018758,-0.6908166,-0.89482075,-0.7838363,-0.59134734,-0.6960818,-0.7385283,-0.6718222,-0.42029697,-0.25363973,-0.122403435,-0.92182106,-0.8611895,-1.5662566,-1.881579,-1.8314189,-1.945342,0.035162754,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.76377463,-1.0,-1.0,0.3545424,0.63773924,1.5588713,-1.288921,-0.3189904,1.6671008,0.43280149,-0.19571307,-0.34615254,-0.009741415,0.13898821,0.44312966,0.5826774,-0.6960818,-0.7385283,-0.6718222,0.7107209,1.0936095,1.2580013,0.094413534,0.6184558,0.41291708,0.7909241,0.8469766,0.9392904,0.035162754,1.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.25506902,-1.0,-1.0,0.49080274,0.50125337,1.7527316,-1.2657634,-0.20912848,1.7064325,0.50908077,-0.20054018,-0.2576484,0.023684941,0.13898821,0.44312966,0.5826774,-0.6960818,-0.7385283,-0.6718222,0.7107209,1.0936095,1.2580013,0.094471574,0.6184558,0.41291708,1.0827212,0.8469766,1.2542489,0.035162754,1.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.95603424,0.94782746,0.3545424,0.63773924,1.5588713,-1.288921,-0.3189904,1.6671008,0.43280149,-0.19571307,-0.34615254,-0.009741415,0.13898821,0.44312966,0.5826774,-0.6960818,-0.7385283,-0.6718222,0.7107209,1.0936095,1.2580013,0.094413534,0.6184558,0.41291708,0.7909241,-0.003641632,-0.27758014,0.035162754,1.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.056551367,-1.0,-1.0,-1.0,0.49080274,0.50125337,1.7527316,-1.2657634,-0.20912848,1.7064325,0.50908077,-0.20054018,-0.2576484,0.023684941,0.13898821,0.44312966,0.5826774,-0.6960818,-0.7385283,-0.6718222,0.7107209,1.0936095,1.2580013,0.094471574,0.6184558,0.41291708,1.0827212,-0.003641632,0.33462745,0.035162754,1.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.23796463,-1.0,-1.0,-1.0,-2.1602633,0.44506955,-0.36819208,0.21031153,0.83815455,-1.0177792,2.181343,-0.3529073,-0.039018758,-0.6908166,-0.89482075,-0.7838363,-0.59134734,-0.6960818,-0.7385283,-0.6718222,-0.42029697,-0.25363973,-0.122403435,-0.92182106,-0.8611895,-1.5662566,-1.881579,-1.8302726,-1.945342,0.035162754,1.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.5442292,-1.0,-1.0,0.3545424,0.63773924,1.5588713,-1.288921,-0.3189904,1.6671008,0.43280149,-0.19571307,-0.34615254,-0.009741415,0.13898821,0.44312966,0.5826774,-0.6960818,-0.7385283,-0.6718222,0.7107209,1.0936095,1.2580013,0.094413534,0.6184558,0.41291708,0.7909241,0.8473175,0.9392904,0.035162754,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.36995515,-1.0,-1.0,0.49080274,0.50125337,1.7527316,-1.2657634,-0.20912848,1.7064325,0.50908077,-0.20054018,-0.2576484,0.023684941,0.13898821,0.44312966,0.5826774,-0.6960818,-0.7385283,-0.6718222,0.7107209,1.0936095,1.2580013,0.094471574,0.6184558,0.41291708,1.0827212,0.8473175,1.2542489,0.035162754,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.23604809,0.10316604,-1.9238853,0.35633096,0.20849535,-0.70024407,0.49615353,-0.53513587,-0.916291,-0.70381093,-0.44940513,0.09174671,-0.89482075,-0.7838363,-0.59134734,-0.6960818,-0.7385283,-0.6718222,-0.42029697,-0.25363973,-0.122403435,-0.92762643,-0.9440406,-1.6043353,-1.8820542,-1.8829504,-1.9458549,0.035162754,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.1602633,0.44506955,-0.36819208,0.21031153,0.83815455,-1.0177792,2.181343,-0.3529073,-0.039018758,-0.6908166,-0.89482075,-0.7838363,-0.59134734,-0.6960818,-0.7385283,-0.6718222,-0.42029697,-0.25363973,-0.122403435,-0.92182106,-0.8611895,-1.5662566,-1.881579,-1.8314189,-1.945342,0.035162754,1.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.39605823,0.15497227,-1.0,-1.0,-1.0,-1.0,-1.7411083,0.50030804,0.443558,-1.2451719,0.8776018,-0.4069155,-0.5247555,-0.46789938,0.47904626,0.26091522,-0.89482075,-0.7838363,-0.59134734,-0.6960818,-0.7385283,-0.6718222,-0.42029697,-0.25363973,-0.122403435,-0.92762643,-1.0452696,-1.6507943,-1.8820542,-1.9458228,-1.9458549,0.035162754,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3545424,0.63773924,1.5588713,-1.288921,-0.3189904,1.6671008,0.43280149,-0.19571307,-0.34615254,-0.009741415,0.13898821,0.44312966,0.5826774,-0.6960818,-0.7385283,-0.6718222,0.7107209,1.0936095,1.2580013,0.094413534,0.6184558,0.41291708,0.7909241,0.8469766,0.9392904,0.035162754,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.49080274,0.50125337,1.7527316,-1.2657634,-0.20912848,1.7064325,0.50908077,-0.20054018,-0.2576484,0.023684941,0.13898821,0.44312966,0.5826774,-0.6960818,-0.7385283,-0.6718222,0.7107209,1.0936095,1.2580013,0.094471574,0.6184558,0.41291708,1.0827212,0.8469766,1.2542489,0.035162754,1.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.79519355,-1.0,-1.0,-1.0,0.3545424,0.63773924,1.5588713,-1.288921,-0.3189904,1.6671008,0.43280149,-0.19571307,-0.34615254,-0.009741415,0.13898821,0.44312966,0.5826774,-0.6960818,-0.7385283,-0.6718222,0.7107209,1.0936095,1.2580013,0.094413534,0.6184558,0.41291708,0.7909241,0.8469766,0.9392904,0.035162754,1.0,1.0,0.0,0.0
