an_vec_0,an_vec_1,an_vec_2,an_vec_3,an_vec_4,an_vec_5,an_vec_6,an_vec_7,an_vec_8,an_vec_9,an_vec_10,an_vec_11,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,fill_r,fill_g,fill_b,svg_fill_r,svg_fill_g,svg_fill_b,diff_fill_r,diff_fill_g,diff_fill_b,rel_height,rel_width,rel_x_position,rel_y_position,rel_x_position_to_animations,rel_y_position_to_animations,nr_paths_svg,rating_0,rating_1,rating_2,rating_3
1.0,0.0,0.0,0.0,0.0,0.0,0.1029725836331845,0.7704875217749056,-1.0,-1.0,-1.0,-1.0,-12.2941475,3.4748952000000006,-2.736042,1.6579005,0.91905916,-0.7918491999999999,3.8248775,-0.68570197,-0.08533074,-0.8099907,60.0,60.0,60.0,64.54166666666667,64.54166666666667,64.54166666666667,-4.541666666666671,-4.541666666666671,-4.541666666666671,0.08423934680109069,0.05475168933808315,0.03383765572036357,0.042119673400545336,0.0395007267267509,0.05140359391374784,24.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.8831995275137637,0.564616481254422,-1.0,-1.0,-1.0,-1.0,4.754991,7.8613043,4.0458465,1.4152241,-1.3700598,2.4396152,4.6431427,0.21542588,2.51064,5.4314013,38.0,54.0,123.0,201.85714285714286,196.57142857142856,201.35714285714286,-163.85714285714286,-142.57142857142858,-78.35714285714286,0.7638370332892342,0.8066667844782206,0.4989577724110771,0.5263499844019671,0.4973659581807828,0.5,28.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.8049019288870946,0.7233198836226357,-1.0,-1.0,-1.0,-1.0,12.365418,5.338211,-7.186115299999999,-6.193774,0.54471207,-0.21731792,-0.5615401999999999,0.6086835,0.7709437,-0.2784989,181.0,22.0,33.0,170.04761904761904,49.14285714285714,58.0,10.952380952380963,-27.142857142857146,-25.0,0.1729208615534811,0.05048094050587832,0.7223904524403277,0.08646043077674054,0.9582449316360204,0.12497795025577713,21.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.15092615924283143,0.8787914931812717,-1.0,-1.0,-1.0,-1.0,9.518825,-2.202598,-8.115216,3.8206275,-3.9460607,1.0012397,-0.563902,-0.6342395000000001,0.08903535,-0.34976143,0.0,61.0,124.0,100.92857142857143,98.14285714285714,107.14285714285714,-100.92857142857143,-37.14285714285714,16.857142857142858,0.4116656015802006,0.12482825057834306,0.5073811830350052,0.2916400395050248,0.8506701439082817,0.4565152569327103,14.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.9497917261265952,0.9403809772485793,-1.0,-1.0,-1.0,-1.0,3.850743,-6.448455,-5.2884417,8.402478,-2.563711,4.07609,-0.22737405,-1.0626961,0.4292718,-0.020743338,0.0,61.0,124.0,100.92857142857143,98.14285714285714,107.14285714285714,-100.92857142857143,-37.14285714285714,16.857142857142858,0.5845000871434377,0.17716590917098268,0.3389088538914139,0.31705687561726564,0.3181110145882634,0.5203565980167809,14.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.7498967536153366,0.5315898351819475,-1.0,-1.0,-1.0,-1.0,14.019173,3.1872997000000005,-10.652015,7.728007000000002,-1.2395606,1.4318664,-0.88618666,-0.08958245,-0.59989256,-0.005364538,181.0,31.0,31.0,100.92857142857143,98.14285714285714,107.14285714285714,80.07142857142857,-67.14285714285714,-76.14285714285714,0.5351769011793406,0.15259133988655252,0.6636190677518231,0.2675884505896703,0.8702633076715689,0.4391685736079327,14.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.9650454366622276,0.8993353220411744,-1.0,-1.0,-1.0,-1.0,6.515214,1.5377187,-3.1427872000000003,-6.122269599999999,-1.6027931,5.6788106,2.57918,-1.3985856,1.2476472,1.820538,254.0,251.0,255.0,226.70588235294116,226.35294117647058,226.82352941176467,27.294117647058805,24.64705882352942,28.176470588235308,0.17226589299591846,0.18767044339854624,0.499852351647424,0.4641006420221382,0.8409773361096585,0.8434611257927356,17.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.7263819043171419,0.4889695433091438,-1.0,-1.0,-1.0,-1.0,-11.195507,5.100873,-1.6796337,-0.3421058,0.9975824,-1.0505136,2.6130397000000003,-1.2999059,-1.4986819,-0.81744945,254.0,251.0,255.0,226.70588235294116,226.35294117647058,226.82352941176467,27.294117647058805,24.64705882352942,28.176470588235308,0.08303968629421911,0.11367228903185787,0.06044920015752834,0.04151984314710955,0.09632028296523393,0.07545857616359063,17.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.9020867003370597,0.8359841319696668,-1.0,-1.0,-1.0,-1.0,-9.041681,4.054345,0.17587596,-4.2772565,1.589588,0.05496161,-1.4672872,-0.7242670999999999,-0.34032035,-0.14810763,33.0,33.0,33.0,57.0,56.8,46.8,-24.0,-23.8,-13.799999999999995,0.07833497752176591,0.04856780564380725,0.026229394321226368,0.03916748876088296,0.031710747083904735,0.050043390355088105,25.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.955032220549458,0.9521786127855203,-1.0,-1.0,-1.0,-1.0,7.048565400000001,7.423889,7.202025,-0.8982408000000002,-5.6483089999999985,0.7786433,0.60105336,-0.32344398,-1.8333145,0.46194327,255.0,255.0,255.0,57.0,56.8,46.8,198.0,198.2,208.2,0.4941054692760442,0.5307370314225915,0.5023710694323638,0.5356178335022647,0.6534727573459939,0.6843464610850933,25.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.94805145681956,0.9189753911255144,-1.0,-1.0,-1.0,-1.0,-0.2152022,-6.254664,3.7336776,-4.5308075,-0.37309396,5.8121657,1.1663457,-1.1710902,1.7094595,0.6341321,0.0,56.0,130.0,28.33333333333333,78.1111111111111,143.88888888888889,-28.33333333333333,-22.11111111111111,-13.888888888888884,1.0,0.2,0.09999999999999998,0.5,0.5,0.5,9.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.883919279844479,0.44164107209173376,-1.0,-1.0,-1.0,-1.0,-12.258475,3.4662125,-2.5408008,0.6173797,-1.0596243,0.45024198,-0.46196857,-0.27382097,1.0668918,-0.28713295,0.0,200.0,230.0,110.8695652173913,154.6086956521739,119.65217391304348,-110.8695652173913,45.39130434782609,110.34782608695652,0.08858463343169892,0.07081718771260315,0.04670627749916822,0.048582740557270784,0.05884944490213795,0.08416004811587721,23.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.7615771398036184,0.5133371381835881,-1.0,-1.0,-1.0,-1.0,3.9792001,-9.030945,-1.7654146000000002,4.539056,-4.1831207,-2.0052044,2.2307475,0.14502046,0.07626103,0.557372,251.0,255.0,211.0,223.3,224.75,184.8,27.699999999999992,30.25,26.199999999999992,0.10055584917354753,0.10396804846147367,0.2843535640565882,0.5176241420196467,0.5004632310330466,0.499536822616788,20.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.12137702090970093,0.783177979065032,-1.0,-1.0,-1.0,-1.0,1.667283,-5.3692546,5.070942400000002,-2.4333076,-1.3823389,2.813359,0.23437108,2.5998647,-2.3283873,-0.43051577,247.0,166.0,0.0,20.724137931034484,21.03448275862069,12.689655172413795,226.27586206896552,144.96551724137933,-12.689655172413795,0.119990509225259,0.2436884309818035,0.15572890833640754,0.4868033036934931,0.4984153795744969,0.10466869696342497,29.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.9587159072743761,0.8995365987698042,-1.0,-1.0,-1.0,-1.0,4.4592967,-7.1839933,6.881917999999999,-1.1695465,-0.43505713,4.083657,0.42192212,2.647289,-2.1251047,-0.4965991,118.0,184.0,42.0,20.724137931034484,21.03448275862069,12.689655172413795,97.27586206896551,162.96551724137933,29.310344827586214,0.16000429344571618,0.3124480397642527,0.15622401988212636,0.9199978532771418,0.5,0.9199978532771418,29.0,0.0,0.0,0.0,0.0
